,AphiaID,scientificname,valid_name,valid_AphiaID,kingdom,phylum,class,order,family,genus
106,123776,Asterias rubens,Asterias rubens,123776,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Asterias
107,123121,Asteriidae,Asteriidae,123121,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,NA
108,123080,Asteroidea,Asteroidea,123080,Animalia,Echinodermata,Asteroidea,NA,NA,NA
109,124951,Asteronyx loveni,Asteronyx loveni,124951,Animalia,Echinodermata,Ophiuroidea,Euryalida,Asteronychidae,Asteronyx
110,123245,Astropecten,Astropecten,123245,Animalia,Echinodermata,Asteroidea,Paxillosida,Astropectinidae,Astropecten
111,123127,Astropectinidae,Astropectinidae,123127,Animalia,Echinodermata,Asteroidea,Paxillosida,Astropectinidae,NA
112,106875,Atelecyclus,Atelecyclus,106875,Animalia,Arthropoda,Malacostraca,Decapoda,Atelecyclidae,Atelecyclus
113,149864,Atelostomata,Atelostomata,149864,Animalia,Echinodermata,Echinoidea,NA,NA,NA
114,158350,Atlantopandalus,Atlantopandalus,158350,Animalia,Arthropoda,Malacostraca,Decapoda,Pandalidae,Atlantopandalus
115,135248,Atolla,Atolla,135248,Animalia,Cnidaria,Scyphozoa,Coronatae,Atollidae,Atolla
116,135263,Aurelia,Aurelia,135263,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Aurelia
117,135306,Aurelia aurita,Aurelia aurita,135306,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Aurelia
118,1393118,Aureliinae,Aureliinae,1393118,Animalia,Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,NA
119,106798,Axiidae,Axiidae,106798,Animalia,Arthropoda,Malacostraca,Decapoda,Axiidae,NA
120,131774,Axinella,Axinella,131774,Animalia,Porifera,Demospongiae,Axinellida,Axinellidae,Axinella
121,132480,Axinella infundibuliformis,Axinella infundibuliformis,132480,Animalia,Porifera,Demospongiae,Axinellida,Axinellidae,Axinella
122,131629,Axinellidae,Axinellidae,131629,Animalia,Porifera,Demospongiae,Axinellida,Axinellidae,NA
123,106057,Balanidae,Balanidae,106057,Animalia,Arthropoda,Thecostraca,Balanomorpha,Balanidae,NA
124,106041,Balanoidea,Balanoidea,106041,Animalia,Arthropoda,Thecostraca,Balanomorpha,NA,NA
125,106039,Balanomorpha,Balanomorpha,106039,Animalia,Arthropoda,Thecostraca,Balanomorpha,NA,NA
126,106122,Balanus,Balanus,106122,Animalia,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Balanus
127,106215,Balanus crenatus,Balanus crenatus,106215,Animalia,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Balanus
128,137673,Bathyarca,Bathyarca,137673,Animalia,Mollusca,Bivalvia,Arcida,Arcidae,Bathyarca
129,138797,Bathyarca glacialis,Bathyarca glacialis,138797,Animalia,Mollusca,Bivalvia,Arcida,Arcidae,Bathyarca
130,123246,Bathybiaster,Bathybiaster,123246,Animalia,Echinodermata,Asteroidea,Paxillosida,Astropectinidae,Bathybiaster
131,834051,Bathypolypodidae,Bathypolypodidae,834051,Animalia,Mollusca,Cephalopoda,Octopoda,Bathypolypodidae,NA
132,138265,Bathypolypus,Bathypolypus,138265,Animalia,Mollusca,Cephalopoda,Octopoda,Bathypolypodidae,Bathypolypus
133,105868,Bathyraja spinicauda,Bathyraja spinicauda,105868,Animalia,Chordata,Elasmobranchii,Rajiformes,Arhynchobatidae,Bathyraja
134,126375,Belone belone,Belone belone,126375,Animalia,Chordata,Actinopterygii,Beloniformes,Belonidae,Belone
135,125451,Belonidae,Belonidae,125451,Animalia,Chordata,Actinopterygii,Beloniformes,Belonidae,NA
136,138266,Benthoctopus,Bathypolypus,138265,Animalia,Mollusca,Cephalopoda,Octopoda,Bathypolypodidae,Benthoctopus
137,126580,Benthosema glaciale,Benthosema glaciale,126580,Animalia,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Benthosema
138,137699,Beringius,Beringius,137699,Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Beringius
139,1434803,Beroe,Beroe,1434803,Animalia,Ctenophora,Nuda,Beroida,Beroidae,Beroe
140,105,Bivalvia,Bivalvia,105,Animalia,Mollusca,Bivalvia,NA,NA,NA
141,106393,Bolinopsis infundibulum,Bolinopsis infundibulum,106393,Animalia,Ctenophora,Tentaculata,Lobata,Bolinopsidae,Bolinopsis
142,100698,Bolocera,Bolocera,100698,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Bolocera
143,100817,Bolocera tuediae,Bolocera tuediae,100817,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Bolocera
144,126433,Boreogadus saida,Boreogadus saida,126433,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Boreogadus
145,119842,Boreomysis,Boreomysis,119842,Animalia,Arthropoda,Malacostraca,Mysida,Mysidae,Boreomysis
